GenOpt(R) Version 3.1.0, December 8, 2011

Lawrence Berkeley National Laboratory
http://simulationresearch.lbl.gov
Michael Wetter, MWetter@lbl.gov

GenOpt Copyright (c) 1998-2011, The Regents of the
University of California, through Lawrence Berkeley
National Laboratory (subject to receipt of any 
required approvals from the U.S. Dept. of Energy).
All rights reserved.
_______________________________________________________________

Results of PSOIW algorithm
Start time: Fri Sep 19 13:52:08 UTC 2014

All Iterations


Simulation Number	Main Iteration	Sub Iteration	Step Number	SimplePaybackYrs	EnergyTotal	UtilBillNoPVRevenueDoll	UtilRevenuePVDoll	UtilBillNetDoll	UtilCostElecDoll	UtilCostGasDoll	UtilCostPropaneDoll	UtilCostOilDoll	EnergyPVkWh	EnergyHeatingGJ	EnergyCoolingGJ	EnergyVentGJ	EnergyDHWGJ	EnergyPlugGJ	FuelEleckWh	FuelNaturalGasM3	FuelOilL	UpgradeCostDoll	PVSizekW	GOtag:CalcMode	GOtag:DBFiles	GOtag:HRVcontrol	GOtag:Opt-Location	GOtag:Opt-geometry	GOtag:Opt-Attachment	GOtag:Opt-ACH	GOtag:Opt-AirTightness	GOtag:Opt-MainWall	GOtag:Opt-BasementWallInsulation	GOtag:Opt-BasementSlabInsulation	GOtag:Opt-ExposedFloor	GOtag:Opt-Ceilings	GOtag:Opt-CasementWindows	GOtag:Ext-DryWall	GOtag:Opt-FloorSurface	GOtag:Opt-DWHRandSDHW	GOtag:Opt-DHWSystem	GOtag:Opt-HVACSystem	GOtag:Opt-HRVSpec	GOtag:Opt-StandoffPV	GOtag:Opt-FrontWindows	GOtag:Opt-BackWindows	GOtag:Opt-ExtLeftSideWindow	GOtag:Opt-ExtBasementWindow	GOtag:Opt-OverhangWidth	GOtag:RoofPitch	GOtag:ElecLoadScale	GOtag:DHWLoadScale	GOtag:GOconfig_rotate
1	1	1	1	1444.7291024617	117.696054	1444.7291024617	0.0	1444.7291024617	581.799583316445	862.929519145255	0.0	0.0	0.0	74.11296	1.706844	0.0	17.498858	24.377392	7291.9967472	2459.39677056	0.0	0.0	0.0	calc	retrofit	EightHRpDay	Vancouver	Van_2st_80_retro	single	retro_ACH_6_5	Generic	Retro-R2_1	PouredConcrete_NoIns	NoInsulation	BaseExpFloor-R31	retro_attic-4_152	DoubleClear	OneSheet	wood	none	BaseDHW	gas-furnace-84_3	BaseHRV_SRE70	NoPV	NoExtraWin	NoExtraWin	No	No	BaseOverhang	6-12	NGERSNoReduction19	No-Reduction	S	Generation 1.
2	2	1	1	3043.29992444054	101.467731	1295.17992444054	0.0	1295.17992444054	549.640188900283	745.539735540261	0.0	0.0	0.0	64.18541	0.424561	0.0	12.480368	24.377392	6928.2952128	2058.03084528	0.0	43703.0	0.0	calc	retrofit	EightHRpDay	Vancouver	Van_2st_80_retro	single	retro_ACH_5	Generic	Retro-R2_1	Retro_added_spray_int	NoInsulation	BaseExpFloor-R31	retro_attic-4_152_12cell	 retro_TripleLowESoftCoatArgFill	OneSheet	wood	DWHR-4-36	BaseDHW	gas-furnace-84_3	BaseHRV_SRE70	NoPV	NoExtraWin	NoExtraWin	No	No	BaseOverhang	6-12	NGERSNoReduction19	Low-Flow	S	Generation 1.
3	3	1	1	4761.85032632483	67.74909	1172.43432632483	402.0	770.434326324827	549.378623209341	623.055703115485	0.0	0.0	5025.0	52.317161	0.436775	0.0	8.707762	24.377392	6924.6307296	1638.09273888	0.0	99785.4	5.0	calc	retrofit	EightHRpDay	Vancouver	Van_2st_80_retro	single	retro_ACH_4	Generic	Retro-int_spray	Retro_added_spray_int	NoInsulation	BaseExpFloor-R31	retro_attic-4_152_12cell	retro_DoubleLowESoftCoatArgFill	OneSheet	wood	1-plate-DWHR-4-60	BaseDHW	gas-furnace-84_3	BaseHRV_SRE70	SizedPV|5kW	NoExtraWin	NoExtraWin	No	No	BaseOverhang	6-12	NGERSNoReduction19	Low-Flow	S	Generation 1.
4	4	1	1	4113.7945325848	79.163904	1204.8585325848	241.2	963.658532584804	549.025025928223	655.833506656581	0.0	0.0	3015.0	51.083712	0.421744	0.0	14.135056	24.377392	6919.6795776	1750.95062208	0.0	78753.4	3.0	calc	retrofit	EightHRpDay	Vancouver	Van_2st_80_retro	single	retro_ACH_4	Generic	Retro-int_2XPS	Retro_added_spray_int	NoInsulation	BaseExpFloor-R31	retro_attic-4_152_12cell	retro_DoubleLowESoftCoatArgFill	OneSheet	wood	none	BaseDHW	gas-furnace-84_3	BaseHRV_SRE70	SizedPV|3kW	NoExtraWin	NoExtraWin	No	No	BaseOverhang	6-12	NGERSNoReduction19	Low-Flow	S	Generation 1.
5	5	1	1	3486.94152105443	60.667014	1023.76952105443	241.2	782.56952105443	489.24475708192	534.524763972511	0.0	0.0	3015.0	40.59695	1.263151	0.0	9.157964	20.502949	6082.4208528	1334.65965408	0.0	67609.3	3.0	calc	retrofit	EightHRpDay	Vancouver	Van_2st_80_retro	single	retro_ACH_4	Generic	Retro-R2_1	Retro_added_spray_int	NoInsulation	BaseExpFloor-R31	retro_attic-4_152_6cell	retro_DoubleLowEHardCoatArgFill	OneSheet	wood	1-plate-DWHR-4-36	BaseDHW	retro_upgrade_furnace	BaseHRV_SRE70	SizedPV|3kW	NoExtraWin	NoExtraWin	No	No	BaseOverhang	6-12	NGERSReducedA16	Low-Flow	S	Generation 1.
6	6	1	1	2631.03132323427	53.720758	1029.18332323427	402.0	627.183323234272	498.336233556881	530.847089677391	0.0	0.0	5025.0	46.870037	1.700219	0.0	2.737553	20.502949	6209.7506064	1330.36949664	0.0	50096.2	5.0	calc	retrofit	EightHRpDay	Vancouver	Van_2st_80_retro	single	retro_ACH_4	Generic	Retro-R2_1	Retro_added_spray_int	NoInsulation	BaseExpFloor-R31	retro_attic-4_152	DoubleClear	OneSheet	wood	2-plate-DWHR-4-36	retro_GasInst	retro_upgrade_furnace	BaseHRV_SRE70	SizedPV|5kW	NoExtraWin	NoExtraWin	No	No	BaseOverhang	6-12	NGERSReducedA16	No-Reduction	S	Generation 1.
7	7	1	1	5194.5521249777	61.021356	1118.1881249777	402.0	716.188124977704	547.415385236659	570.772739741045	0.0	0.0	5025.0	45.265534	0.310466	0.0	9.157964	24.377392	6897.1344912	1459.82099232	0.0	111959.1	5.0	calc	retrofit	EightHRpDay	Vancouver	Van_2st_80_retro	single	retro_ACH_6_5	Generic	Retro-ext_4EPS	Retro_added_R20_ext	NoInsulation	BaseExpFloor-R31	retro_attic-4_152_12cell	 retro_TripleLowESoftCoatArgFill	OneSheet	wood	1-plate-DWHR-4-36	BaseDHW	retro_upgrade_furnace	BaseHRV_SRE70	SizedPV|5kW	NoExtraWin	NoExtraWin	No	No	BaseOverhang	6-12	NGERSNoReduction19	No-Reduction	S	Generation 1.
8	8	1	1	4572.05102905819	90.05769	1287.53102905819	241.2	1046.33102905819	547.525576183615	740.005452874576	0.0	0.0	3015.0	70.626118	0.303974	0.0	5.604206	24.377392	6898.6766016	2045.945304	0.0	88143.0	3.0	calc	retrofit	EightHRpDay	Vancouver	Van_2st_80_retro	single	retro_ACH_6_5	Generic	Retro-ext_4EPS	Retro_added_spray_int	NoInsulation	BaseExpFloor-R31	retro_attic-4_152_6cell	retro_DoubleLowESoftCoatArgFill	OneSheet	wood	1-plate	retro_GasInst	gas-furnace-84_3	BaseHRV_SRE70	SizedPV|3kW	NoExtraWin	NoExtraWin	No	No	BaseOverhang	6-12	NGERSNoReduction19	Low-Flow	S	Generation 1.
9	9	1	1	4970.41977245956	51.212271	1042.15977245956	402.0	640.15977245956	548.953986171268	493.205786288292	0.0	0.0	5025.0	35.348001	0.418914	0.0	9.157964	24.377392	6918.68304	1193.93939952	0.0	108256.5	5.0	calc	retrofit	EightHRpDay	Vancouver	Van_2st_80_retro	single	retro_ACH_4	Generic	Retro-ext_4EPS	Retro_added_R20_ext	NoInsulation	BaseExpFloor-R31	retro_attic-4_152_12cell	retro_DoubleLowESoftCoatArgFill	OneSheet	wood	1-plate-DWHR-4-36	BaseDHW	retro_upgrade_furnace	BaseHRV_SRE70	SizedPV|5kW	NoExtraWin	NoExtraWin	No	No	BaseOverhang	6-12	NGERSNoReduction19	No-Reduction	S	Generation 1.
10	10	1	1	3015.79689299216	98.156156	1307.79689299216	241.2	1066.59689299216	472.692955393313	835.103937598849	0.0	0.0	3015.0	70.603311	0.405038	0.0	17.498858	20.502949	5850.6028704	2365.21639872	0.0	48730.0	3.0	calc	retrofit	EightHRpDay	Vancouver	Van_2st_80_retro	single	retro_ACH_5	Generic	Retro-R2_1	PouredConcrete_NoIns	NoInsulation	BaseExpFloor-R31	retro_attic-4_152_12cell	retro_DoubleLowESoftCoatArgFill	OneSheet	wood	none	BaseDHW	gas-furnace-84_3	BaseHRV_SRE70	SizedPV|3kW	NoExtraWin	NoExtraWin	No	No	BaseOverhang	6-12	NGERSReducedA16	No-Reduction	S	Generation 1.
